Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,antisymmetric property,attached_to,database_cross_reference,definition,depicts,has_obo_format_version,has_related_synonym,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://www.geneontology.org/formats/oboInOwl#auto-generated-by,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#default-relationship-id-prefix,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#namespace-id-rule,http://www.geneontology.org/formats/oboInOwl#remark,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#notation,integral_part_of,part_of
http://purl.obolibrary.org/obo/HAO_0001064,anterior tentorio-premental muscle,,The muscle that arises anteriorly from the cranium and inserts on the posterior margin of the prementum.,false,,,http://purl.obolibrary.org/obo/HAO_0000641|http://purl.obolibrary.org/obo/HAO_0001001,,http://purl.obolibrary.org/obo/HAO_0000234|http://purl.obolibrary.org/obo/HAO_0000804,,The muscle that arises anteriorly from the cranium and inserts on the posterior margin of the prementum.,,,adductor of the labium|ventral premental adductor|posterior adductor of the labium|posterior adductor|muscle 18|protractor of the labium|musculus tentorio-prementualis|muscle 20|posterior labial adductor,,,,,,,,HAO:0001064,,,,anterior tentorio-premental muscle,,HAO:0001064,,
http://purl.obolibrary.org/obo/HAO_0000318,facial orbit,,The line that extends along the border of the eye and lower face.,false,,,http://purl.obolibrary.org/obo/HAO_0001586,,,,The line that extends along the border of the eye and lower face.,,,,http://purl.obolibrary.org/obo/HAO_0000672,,http://purl.obolibrary.org/obo/HAO_0000672,,,,,HAO:0000318,,,,facial orbit,,HAO:0000318,,
http://purl.obolibrary.org/obo/HAO_0000525,median oblique line,,The depression that is oblique and located submedially on the mesopleuron between the fore coxa and posterolateral corner of the mesopleuron.,false,,,http://purl.obolibrary.org/obo/HAO_0000241,,,,The depression that is oblique and located submedially on the mesopleuron between the fore coxa and posterolateral corner of the mesopleuron.,,,,http://purl.obolibrary.org/obo/HAO_0000566,,http://purl.obolibrary.org/obo/HAO_0000566,,,,,HAO:0000525,,,,median oblique line,,HAO:0000525,,
http://purl.obolibrary.org/obo/HAO_0000800,preaxilla,,"The area that is delimited laterally by the parascutal carina, adjacent to the tegula anteriorly and bears the anterior and antemedian mesonotal wing processes.",false,,,http://purl.obolibrary.org/obo/HAO_0000146,,,,"The area that is delimited laterally by the parascutal carina, adjacent to the tegula anteriorly and bears the anterior and antemedian mesonotal wing processes.",,,anterior alar plate,,,,,,,,HAO:0000800,,,,preaxilla,,HAO:0000800,,
http://purl.obolibrary.org/obo/HAO_0000536,mesepimeral inflection,,The inflection that extends along the dorsal margin of the mesopectus.,false,,,http://purl.obolibrary.org/obo/HAO_0000418,,,,The inflection that extends along the dorsal margin of the mesopectus.,,,,http://purl.obolibrary.org/obo/HAO_0000539,,http://purl.obolibrary.org/obo/HAO_0000539,,,,,HAO:0000536,,,,mesepimeral inflection,,HAO:0000536,,
http://purl.obolibrary.org/obo/HAO_0000811,prepectus,,The intersegmentalia that is located on the mesopectus-pronotum intersegmental membrane and corresponds to the site of origin of the anterior thoracic spiracle occlusor muscle.,false,,,http://purl.obolibrary.org/obo/HAO_0000436,,,,The intersegmentalia that is located on the mesopectus-pronotum intersegmental membrane and corresponds to the site of origin of the anterior thoracic spiracle occlusor muscle.,,,postspiracular sclerite|epicnemium,http://purl.obolibrary.org/obo/HAO_0000883,,http://purl.obolibrary.org/obo/HAO_0000883,,,,,HAO:0000811,,,,prepectus,,HAO:0000811,,
http://purl.obolibrary.org/obo/HAO_0000376,glossa,,"The lobe of the labium that is limited posteroproximally by the prementum, anteroproximally by the fold traversing the salivary orifice and laterally by the paraglossae.",false,,,http://purl.obolibrary.org/obo/HAO_0001587,,,,"The lobe of the labium that is limited posteroproximally by the prementum, anteroproximally by the fold traversing the salivary orifice and laterally by the paraglossae.",,,lingua|tongue|alaglossa,http://purl.obolibrary.org/obo/HAO_0000453,,http://purl.obolibrary.org/obo/HAO_0000453,,,,,HAO:0000376,,,,glossa,,HAO:0000376,,
http://purl.obolibrary.org/obo/HAO_0000088,adult abdomen,,The abdomen that is part of the adult.,false,,,http://purl.obolibrary.org/obo/HAO_0000015,,,,The abdomen that is part of the adult.,,,,http://purl.obolibrary.org/obo/HAO_0000182,,http://purl.obolibrary.org/obo/HAO_0000182,,,,,HAO:0000088,,,,adult abdomen,,HAO:0000088,,
http://purl.obolibrary.org/obo/HAO_0000099,antecostal sulcus,,The sulcus that corresponds to the antecosta.,false,,,http://purl.obolibrary.org/obo/HAO_0000978,,,,The sulcus that corresponds to the antecosta.,,,cinctus,http://purl.obolibrary.org/obo/HAO_0000183,,http://purl.obolibrary.org/obo/HAO_0000183,,,,,HAO:0000099,,,,antecostal sulcus,,HAO:0000099,,
http://purl.obolibrary.org/obo/HAO_0001904,acropleural ridge,,The ridge that delimits anteriorly the acropleuron.,false,,,http://purl.obolibrary.org/obo/HAO_0000899,,,,The ridge that delimits anteriorly the acropleuron.,,,,http://purl.obolibrary.org/obo/HAO_0000557,,http://purl.obolibrary.org/obo/HAO_0000557,,,,,HAO:0001904,,,,acropleural ridge,,HAO:0001904,,
http://purl.obolibrary.org/obo/HAO_0000077,epithelial cell,,Cell which has as its part a cytoskeleton that allows for tight cell to cell contact and which has apical-basal cell polarity.,false,,,http://purl.obolibrary.org/obo/HAO_0000013,,,CARO:0000077,Cell which has as its part a cytoskeleton that allows for tight cell to cell contact and which has apical-basal cell polarity.,,,,,,,,,,,HAO:0000077,,,,epithelial cell,,HAO:0000077,,
http://purl.obolibrary.org/obo/HAO_0001915,pectal fossa of the coxa,,The fossa that is located on the coxa and accommodates the coxal condyle of the pleuron.,false,,,http://purl.obolibrary.org/obo/HAO_0000353,,,,The fossa that is located on the coxa and accommodates the coxal condyle of the pleuron.,,,basicoxal acetabulum,http://purl.obolibrary.org/obo/HAO_0000228,,http://purl.obolibrary.org/obo/HAO_0000228,,,,,HAO:0001915,,,,pectal fossa of the coxa,,HAO:0001915,,
http://purl.obolibrary.org/obo/HAO_0001456,abdominal laterotergite 3,,The laterotergite that is located on abdominal tergum 3.,false,,,http://purl.obolibrary.org/obo/HAO_0000493,,,,The laterotergite that is located on abdominal tergum 3.,,,,http://purl.obolibrary.org/obo/HAO_0000056,,http://purl.obolibrary.org/obo/HAO_0000056,,,,,HAO:0001456,,,,abdominal laterotergite 3,,HAO:0001456,,
http://purl.obolibrary.org/obo/HAO_0001467,intertarsomeral joint,,The monocondylic joint that is composed of two tarsomeres.,false,,,http://purl.obolibrary.org/obo/HAO_0000638,,,,The monocondylic joint that is composed of two tarsomeres.,,,,http://purl.obolibrary.org/obo/HAO_0000992,,http://purl.obolibrary.org/obo/HAO_0000992,,,,,HAO:0001467,,,,intertarsomeral joint,,HAO:0001467,,
http://purl.obolibrary.org/obo/HAO_0000723,pleural pit,,The pit that is located on the pleuron and corresponds to the pleural apophysis.,false,,,http://purl.obolibrary.org/obo/HAO_0000718,,,,The pit that is located on the pleuron and corresponds to the pleural apophysis.,,,,http://purl.obolibrary.org/obo/HAO_0000729,,http://purl.obolibrary.org/obo/HAO_0000729,,,,,HAO:0000723,,,,pleural pit,,HAO:0000723,,
http://purl.obolibrary.org/obo/HAO_0000512,marginal vein,,The abscissa that is located along the anterior margin of the fore wing and is thought to correspond to the anterior abscissa of the radius (R1).,false,,,http://purl.obolibrary.org/obo/HAO_0000076,,,,The abscissa that is located along the anterior margin of the fore wing and is thought to correspond to the anterior abscissa of the radius (R1).,,,marginalis,http://purl.obolibrary.org/obo/HAO_0000351,,http://purl.obolibrary.org/obo/HAO_0000351,,,,,HAO:0000512,,,,marginal vein,,HAO:0000512,,
http://purl.obolibrary.org/obo/HAO_0000770,posterodorsal edge of pronotum,,The edge that is located at the intersection of the dorsal and lateral margins of the pronotum.,false,,,http://purl.obolibrary.org/obo/HAO_0000285,,,,The edge that is located at the intersection of the dorsal and lateral margins of the pronotum.,,,,http://purl.obolibrary.org/obo/HAO_0000853,,http://purl.obolibrary.org/obo/HAO_0000853,,,,,HAO:0000770,,,,posterodorsal edge of pronotum,,HAO:0000770,,
http://purl.obolibrary.org/obo/HAO_0001827,proctiger,,The area that is located arond the anal opening posterior to the epipygium and hypopygium.,false,,,http://purl.obolibrary.org/obo/HAO_0000146,,,,The area that is located arond the anal opening posterior to the epipygium and hypopygium.,,,,http://purl.obolibrary.org/obo/HAO_0000015,,http://purl.obolibrary.org/obo/HAO_0000015,,,,,HAO:0001827,,,,proctiger,,HAO:0001827,,
http://purl.obolibrary.org/obo/HAO_0001838,laterosternite,,The sternite that is located laterally on an abdominal sternum.,false,,,http://purl.obolibrary.org/obo/HAO_0000955,,,,The sternite that is located laterally on an abdominal sternum.,,,,http://purl.obolibrary.org/obo/HAO_0001425,,http://purl.obolibrary.org/obo/HAO_0001425,,,,,HAO:0001838,,,,laterosternite,,HAO:0001838,,
http://purl.obolibrary.org/obo/HAO_0002213,distal hypopharyngeal invagination,,The invagination on the distal hypopharynx that id adjacent to the concavities of the hypopharyngeal rods.,false,,,http://purl.obolibrary.org/obo/HAO_0002021,,,,The invagination on the distal hypopharynx that id adjacent to the concavities of the hypopharyngeal rods.,,,ligular arm kink,http://purl.obolibrary.org/obo/HAO_0001575,,http://purl.obolibrary.org/obo/HAO_0001575,,,,,HAO:0002213,,,,distal hypopharyngeal invagination,,HAO:0002213,,
http://purl.obolibrary.org/obo/HAO_0001895,third flagellomere,,The flagellomere that is located immediately distal to the second flagellomere.,false,,,http://purl.obolibrary.org/obo/HAO_0000342,,,,The flagellomere that is located immediately distal to the second flagellomere.,,,,,,,,,,,HAO:0001895,,,,third flagellomere,,HAO:0001895,,
http://purl.obolibrary.org/obo/HAO_0001884,tenth flagellomere,,The flagellomere that is located immediately distal to the ninth flagellomere.,false,,,http://purl.obolibrary.org/obo/HAO_0000342,,,,The flagellomere that is located immediately distal to the ninth flagellomere.,,,,http://purl.obolibrary.org/obo/HAO_0000343,,http://purl.obolibrary.org/obo/HAO_0000343,,,,,HAO:0001884,,,,tenth flagellomere,,HAO:0001884,,
http://purl.obolibrary.org/obo/HAO_0001098,capitate peg sensillum,,"Mushroom-shaped sensory structure on the flagellum, particularly theclava; sometimes called the sensilla ampullacea.",false,,,http://purl.obolibrary.org/obo/HAO_0000933,,,,"Mushroom-shaped sensory structure on the flagellum, particularly theclava; sometimes called the sensilla ampullacea.",,,basiconic capitate peg sensillum|sensilla ampullacea,http://purl.obolibrary.org/obo/HAO_0000343,,http://purl.obolibrary.org/obo/HAO_0000343,,,,,HAO:0001098,,,,capitate peg sensillum,,HAO:0001098,,
http://purl.obolibrary.org/obo/HAO_0000005,anatomical space,,"Non-material anatomical entity of three dimensions, that is generated by morphogenetic or other physiologic processes; is surrounded by one or more anatomical structures; contains one or more organism substances or anatomical structures.",false,,,http://purl.obolibrary.org/obo/HAO_0000007,,,CARO:0000005,"Non-material anatomical entity of three dimensions, that is generated by morphogenetic or other physiologic processes; is surrounded by one or more anatomical structures; contains one or more organism substances or anatomical structures.",,,,,,,,,,,HAO:0000005,,,,anatomical space,,HAO:0000005,,
http://purl.obolibrary.org/obo/HAO_0001087,vulva,,The anatomical space that corresponds to the opening of the vagina.,false,,,http://purl.obolibrary.org/obo/HAO_0000005,,,,The anatomical space that corresponds to the opening of the vagina.,,,,http://purl.obolibrary.org/obo/HAO_0000324,,http://purl.obolibrary.org/obo/HAO_0000324,,,,,HAO:0001087,,,,vulva,,HAO:0001087,,
http://purl.obolibrary.org/obo/HAO_0001733,notal membrane,,The conjunctiva that connects the medial margins of the second valvulae.,false,,,http://purl.obolibrary.org/obo/HAO_0000221,,,,The conjunctiva that connects the medial margins of the second valvulae.,,,,http://purl.obolibrary.org/obo/HAO_0000679,,http://purl.obolibrary.org/obo/HAO_0000679,,,,,HAO:0001733,,,,notal membrane,,HAO:0001733,,
http://purl.obolibrary.org/obo/HAO_0001722,metasomal spiracle,,The metasomal spiracle that is located on the metasomal tergum 7.,false,,,http://purl.obolibrary.org/obo/HAO_0001847,,,,The metasomal spiracle that is located on the metasomal tergum 7.,,,,http://purl.obolibrary.org/obo/HAO_0000061,,http://purl.obolibrary.org/obo/HAO_0000061,,,,,HAO:0001722,,,,metasomal spiracle,,HAO:0001722,,
http://purl.obolibrary.org/obo/HAO_0000834,pronotal flange,,The evagination that extends along the anterior margin of the pronotum and overlaps the head-propectus articulation.,false,,,http://purl.obolibrary.org/obo/HAO_0001924,,,,The evagination that extends along the anterior margin of the pronotum and overlaps the head-propectus articulation.,,,pronotal collar,http://purl.obolibrary.org/obo/HAO_0000853,,http://purl.obolibrary.org/obo/HAO_0000853,,,,,HAO:0000834,,,,pronotal flange,,HAO:0000834,,
http://purl.obolibrary.org/obo/HAO_0001780,median bridge of the second valvifers,,The area that connects posterodorsally the second valvifers and is the site of attachment for the posterior T9-second valvifer muscle.,false,,,http://purl.obolibrary.org/obo/HAO_0000146,,,,The area that connects posterodorsally the second valvifers and is the site of attachment for the posterior T9-second valvifer muscle.,,,bridge of second valvifer,http://purl.obolibrary.org/obo/HAO_0002181,,http://purl.obolibrary.org/obo/HAO_0002181,,,,,HAO:0001780,,,,median bridge of the second valvifers,,HAO:0001780,,
http://purl.obolibrary.org/obo/HAO_0000823,prodiscrimen,,The discrimen that is located in the prothorax and corresponds to the prodiscrimenal lamella.,false,,,http://purl.obolibrary.org/obo/HAO_0000244,,,,The discrimen that is located in the prothorax and corresponds to the prodiscrimenal lamella.,,,,http://purl.obolibrary.org/obo/HAO_0000873,,http://purl.obolibrary.org/obo/HAO_0000873,,,,,HAO:0000823,,,,prodiscrimen,,HAO:0000823,,
http://purl.obolibrary.org/obo/HAO_0000746,posterior extension of preaxilla,,The area that is located on the posteroventral corner of the preaxilla and articulates with the anterior extension of the lateral axillar area.,false,,,http://purl.obolibrary.org/obo/HAO_0000146,,,,The area that is located on the posteroventral corner of the preaxilla and articulates with the anterior extension of the lateral axillar area.,,,,http://purl.obolibrary.org/obo/HAO_0000800,,http://purl.obolibrary.org/obo/HAO_0000800,,,,,HAO:0000746,,,,posterior extension of preaxilla,,HAO:0000746,,
http://purl.obolibrary.org/obo/HAO_0000757,posterior mesoscutellar sulcus,,The line that extends along the posterior margin of the mesoscutellum and corresponds to the posterior mesoscutellar ridge.,false,,,http://purl.obolibrary.org/obo/HAO_0000978,,,,The line that extends along the posterior margin of the mesoscutellum and corresponds to the posterior mesoscutellar ridge.,,,posterior scutellar pits,http://purl.obolibrary.org/obo/HAO_0000574,,http://purl.obolibrary.org/obo/HAO_0000574,,,,,HAO:0000757,,,,posterior mesoscutellar sulcus,,HAO:0000757,,
http://purl.obolibrary.org/obo/HAO_0000810,preorbital carina,,"The carina that is located on the face, parallels the inner orbit and is paired.",false,,,http://purl.obolibrary.org/obo/HAO_0000188,,,,"The carina that is located on the face, parallels the inner orbit and is paired.",,,orbital carina|frontal carina,http://purl.obolibrary.org/obo/HAO_0001044,,http://purl.obolibrary.org/obo/HAO_0001044,,,,,HAO:0000810,,,,preorbital carina,,HAO:0000810,,
http://purl.obolibrary.org/obo/HAO_0000397,head,,The tagma that is located anterior to the thorax.,false,,,http://purl.obolibrary.org/obo/HAO_0000988,,,,The tagma that is located anterior to the thorax.,,,,http://purl.obolibrary.org/obo/HAO_0000182,,http://purl.obolibrary.org/obo/HAO_0000182,,,,,HAO:0000397,,,,head,,HAO:0000397,,
http://purl.obolibrary.org/obo/HAO_0000375,gland,,The anatomical cluster that is composed of epithelial cell(s) that secrete or excrete materials not related to their ordinary metabolic needs.,false,,,http://purl.obolibrary.org/obo/HAO_0000041,,,,The anatomical cluster that is composed of epithelial cell(s) that secrete or excrete materials not related to their ordinary metabolic needs.,,,,http://purl.obolibrary.org/obo/HAO_0000182,,http://purl.obolibrary.org/obo/HAO_0000182,,,,,HAO:0000375,,,,gland,,HAO:0000375,,
http://purl.obolibrary.org/obo/HAO_0002020,postgenal lamella,,The carina that extends along the lateral margin of the postgenal groove.,false,,,http://purl.obolibrary.org/obo/HAO_0000188,,,,The carina that extends along the lateral margin of the postgenal groove.,,,,http://purl.obolibrary.org/obo/HAO_0000234,,http://purl.obolibrary.org/obo/HAO_0000234,,,,,HAO:0002020,,,,postgenal lamella,,HAO:0002020,,
http://purl.obolibrary.org/obo/HAO_0002031,cercal seta,,The seta that is on the cercus.,false,,,http://purl.obolibrary.org/obo/HAO_0002299,,,,The seta that is on the cercus.,,,cercal bristle,http://purl.obolibrary.org/obo/HAO_0000191,,http://purl.obolibrary.org/obo/HAO_0000191,,,,,HAO:0002031,,,,cercal seta,,HAO:0002031,,
http://purl.obolibrary.org/obo/HAO_0000386,gonostipes,,"The sclerite that is located dorsolaterally on the gonostyle/volsella complex, is connected to the distal margin of the cupula, to the proximal margin of the harpe, and to the lateral margin of the volsella.",false,,,http://purl.obolibrary.org/obo/HAO_0000909,,,,"The sclerite that is located dorsolaterally on the gonostyle/volsella complex, is connected to the distal margin of the cupula, to the proximal margin of the harpe, and to the lateral margin of the volsella.",,,parameral plate|basiparamere|basal part of forceps|stipes|coxopodite|basistyle|gonocoxite|lamina parameralis|basal part of stipes|pièce principale|section 2|basimere,http://purl.obolibrary.org/obo/HAO_0000713,,http://purl.obolibrary.org/obo/HAO_0000713,,,,,HAO:0000386,,,,gonostipes,,HAO:0000386,,
http://purl.obolibrary.org/obo/HAO_0000593,metafurcal arm,,"The apodeme that arises ventromedially form the metapectus, extends towards the metapleural apodeme and corresponds to the site of origin of metacoxal and metatrochanteral muscles.",false,,,http://purl.obolibrary.org/obo/HAO_0000142,,,,"The apodeme that arises ventromedially form the metapectus, extends towards the metapleural apodeme and corresponds to the site of origin of metacoxal and metatrochanteral muscles.",,,,http://purl.obolibrary.org/obo/HAO_0000592,,http://purl.obolibrary.org/obo/HAO_0000592,,,,,HAO:0000593,,,,metafurcal arm,,HAO:0000593,,
http://purl.obolibrary.org/obo/HAO_0001343,posterior tentorial arm,,The apodeme that extends between the site of origin of the tentorial bridge and the posterior tentorial pit.,false,,,http://purl.obolibrary.org/obo/HAO_0000142,,,,The apodeme that extends between the site of origin of the tentorial bridge and the posterior tentorial pit.,,,,http://purl.obolibrary.org/obo/HAO_0000997,,http://purl.obolibrary.org/obo/HAO_0000997,,,,,HAO:0001343,,,,posterior tentorial arm,,HAO:0001343,,
http://purl.obolibrary.org/obo/HAO_0001132,mesotarsus,,The tarsus that is located on the mid leg.,false,,,http://purl.obolibrary.org/obo/HAO_0000992,,,,The tarsus that is located on the mid leg.,,,mid tarsus|midtarsus,http://purl.obolibrary.org/obo/HAO_0000636,,http://purl.obolibrary.org/obo/HAO_0000636,,,,,HAO:0001132,,,,mesotarsus,,HAO:0001132,,
http://purl.obolibrary.org/obo/HAO_0000408,hypopharyngeal rod,,The ligament that connects the proximolateral margin of the prementum with the proximal part of the ligula.,false,,,http://purl.obolibrary.org/obo/HAO_0002229,,,,The ligament that connects the proximolateral margin of the prementum with the proximal part of the ligula.,,,ligular arm|epimental sclerite,http://purl.obolibrary.org/obo/HAO_0000409,,http://purl.obolibrary.org/obo/HAO_0000409,,,,,HAO:0000408,,,,hypopharyngeal rod,,HAO:0000408,,
http://purl.obolibrary.org/obo/HAO_0001330,posterior trochanteral articular process of the metacoxa,,The articular process that is located posteriorly on the distal margin of the metacoxa and bears the posterior trochanteral condyle of the metacoxa.,false,,,http://purl.obolibrary.org/obo/HAO_0000150,,,,The articular process that is located posteriorly on the distal margin of the metacoxa and bears the posterior trochanteral condyle of the metacoxa.,,,,,,,,,,,HAO:0001330,,,,posterior trochanteral articular process of the metacoxa,,HAO:0001330,,
http://purl.obolibrary.org/obo/HAO_0000420,integrated tarsal plantula,,The tarsal plantula that arises medially on the tarsomere.,false,,,http://purl.obolibrary.org/obo/HAO_0000990,,,,The tarsal plantula that arises medially on the tarsomere.,,,,,,,,,,,HAO:0000420,,,,integrated tarsal plantula,,HAO:0000420,,
http://purl.obolibrary.org/obo/HAO_0000431,interommatidial seta,,The seta that is located at the intersection of the margins of three ommatidiae.,false,,,http://purl.obolibrary.org/obo/HAO_0002299,,,,The seta that is located at the intersection of the margins of three ommatidiae.,,,,http://purl.obolibrary.org/obo/HAO_0000217,,http://purl.obolibrary.org/obo/HAO_0000217,,,,,HAO:0000431,,,,interommatidial seta,,HAO:0000431,,
