Term	Concept	URI	Preferred Term
posterior propodeal projection	The propodeal spine that is located posteromedially of the first abdominal spiracle.	http://purl.obolibrary.org/obo/HAO_0000763	posterior propodeal projection
postgena	The area that is located on the occiput ventrally of the occipital foramen.	http://purl.obolibrary.org/obo/HAO_0000776	postgena
postmarginal vein	The abscissa that is marginal and located distal to the marginal vein.	http://purl.obolibrary.org/obo/HAO_0000783	postmarginal vein
prespecular sulcus	The sulcus that delimits anteriorly the speculum and corresponds to the anterior margin of the speculum.	http://purl.obolibrary.org/obo/HAO_0000816	prespecular sulcus
pronotal cervical sulcus	The sulcus that extends along the anterior margin of the pronotum and delimits the anterior rim of pronotum.	http://purl.obolibrary.org/obo/HAO_0000831	pronotal cervical sulcus
pronotal suprahumeral sulcus	The sulcus that extends along the dorsal margin of the pronotum and delimits the dorsal pronotal area.	http://purl.obolibrary.org/obo/HAO_0000842	pronotal suprahumeral sulcus
pronotum	The notum that is located in the prothorax.	http://purl.obolibrary.org/obo/HAO_0000853	pronotum
sensillum	"A sense organ embedded in the integument and consisting of one or a cluster of sensory neurons and associated sensory structures, support cells and glial cells forming a single organized unit with a largely bona fide boundary."	http://purl.obolibrary.org/obo/HAO_0000933	sensillum
skaphion	The area that is anteriorly on the mesonotum and delimited posteriorly by the skaphion carina.	http://purl.obolibrary.org/obo/HAO_0000940	skaphion
spine	The process that lacks non-sclerotised ring at the base.	http://purl.obolibrary.org/obo/HAO_0000949	spine
submarginal vein	Basal-most portion of the forewing vein complex that occurs behind the costal cell; measured from the constriction that delimits the humeral plate to the point at which the vein touches the leading edge of the wing apically.	http://purl.obolibrary.org/obo/HAO_0000972	submarginal vein
submedian carina	The carina that arises from the anterior mandibular articulation that is located medially of the orbital carina and laterally of the frontal carina.	http://purl.obolibrary.org/obo/HAO_0000973	submedian carina
sulcus	The groove that corresponds to a ridge.	http://purl.obolibrary.org/obo/HAO_0000978	sulcus
tergite	The sclerite that is located on the tergum.	http://purl.obolibrary.org/obo/HAO_0001005	tergite
transverse pronotal carina	The carina that delimits posteriorly the pronotal neck.	http://purl.obolibrary.org/obo/HAO_0001031	transverse pronotal carina
acetabular carina	The carina that delimits posteriorly the epicnemium.	http://purl.obolibrary.org/obo/HAO_0000292	epicnemial carina
antecostal sulcus	The sulcus that corresponds to the antecosta.	http://purl.obolibrary.org/obo/HAO_0000099	antecostal sulcus
antennal foramen	The foramen that is located on the head in which the radicle is positioned.	http://purl.obolibrary.org/obo/HAO_0001022	antennal foramen
antennal scrobe	The scrobe that is located dorsally of the antennal foramen and is for the reception of the antenna.	http://purl.obolibrary.org/obo/HAO_0001432	antennal scrobe
antennomere	The anatomical structure that is delimited by the proximal and distal margins of the antennal sclerite.	http://purl.obolibrary.org/obo/HAO_0000107	antennomere
axillar crescent	"The anatomical cluster composed of the transaxillar carina, axillar carina, and axillular carina."	http://purl.obolibrary.org/obo/HAO_0002306	axillar crescent
axillular carina	The axillular line that is a carina.	http://purl.obolibrary.org/obo/HAO_0000161	axillular carina
clava	The anatomical cluster that is composed of apical flagellomeres bearing multiporous plates in female organism.	http://purl.obolibrary.org/obo/HAO_0000203	clava
clypeus	The area that corresponds to the site of origin of the clypeo-epipharyngeal muscle.	http://purl.obolibrary.org/obo/HAO_0000212	clypeus
episternal foveae	The row of impressions that is located on the anteroventral edge of the mesopleuron and is correspond to the site of origin of the mesopleuro-mesobasalar muscle.	http://purl.obolibrary.org/obo/HAO_0001509	episternal foveae
eye	The compound organ that is composed of ommatidia.	http://purl.obolibrary.org/obo/HAO_0000217	eye
facial striae	The anatomical cluster that composed of carinae radiating from the pleurostomal condyle.	http://purl.obolibrary.org/obo/HAO_0001770	facial striae
flagellum	The anatomical cluster composed of flagellomeres.	http://purl.obolibrary.org/obo/HAO_0000343	flagellum
foramen	"The anatomical space that is surrounded by sclerites and allows for the passage of haemolymph, nerves and tracheae."	http://purl.obolibrary.org/obo/HAO_0000345	foramen
frons	The area that is located dorsally of the ventral margin of the toruli and ventrally of the anterior ocellus medial to the inner margins of the eye and malar line.	http://purl.obolibrary.org/obo/HAO_0001044	upper face
gena	"The area that is delimited by the intersection of the interorbital plane, the margin of the compound eye, the margin of the oral foramen, the occipital carina and the malar sulcus."	http://purl.obolibrary.org/obo/HAO_0000371	gena
genal carina	The carina that extends on the gena from the lateral margin of the oral foramen.	http://purl.obolibrary.org/obo/HAO_0001755	genal carina
hyperoccipital carina	The carina that extends on the vertex between the outer orbits.	http://purl.obolibrary.org/obo/HAO_0000406	hyperoccipital carina
inner orbit	The line that extends along the border between the eye and face.	http://purl.obolibrary.org/obo/HAO_0000419	inner margin of compound eye
interantennal process	The area that is elevated and extends between the toruli.	http://purl.obolibrary.org/obo/HAO_0000422	interantennal process
lateral ocellus	The ocellus that is paired.	http://purl.obolibrary.org/obo/HAO_0000481	lateral ocellus
laterotergite	The area that is located laterally on the tergum and is delimited by a longitudinal edge.	http://purl.obolibrary.org/obo/HAO_0001861	laterotergite
malar sulcus	The sulcus that extends between the ventral margin of the compound eye and the base of the mandible.	http://purl.obolibrary.org/obo/HAO_0000504	malar sulcus
mandible	The appendage that is encircled by one sclerite that is connected to the cranium proximolaterally and to the maxillo-labial complex proximomedially via conjunctivae and articulates with the cranium via the anterior and posterior cranio-mandibular articulations.	http://purl.obolibrary.org/obo/HAO_0000506	mandible
margin	The line that delimits the periphery of an area.	http://purl.obolibrary.org/obo/HAO_0000510	margin
median mesoscutal sulcus	The sulcus that is located in the anteroposterior midline of the mesoscutum and corresponds with the median mesoscutal ridge.	http://purl.obolibrary.org/obo/HAO_0000523	median mesoscutal sulcus
mediotergite	The area that is located medially on the tergum and is separated laterally by a line from the laterotergite.	http://purl.obolibrary.org/obo/HAO_0001860	mediotergite
mesepisternum	The area that is located anteriorly of the mesepimeral sulcus.	http://purl.obolibrary.org/obo/HAO_0001872	mesepisternum
mesocoxa	The coxa that is located on the mid leg.	http://purl.obolibrary.org/obo/HAO_0000635	mesocoxa
mesopleural carina	The carina that crosses the mesopleuron and limits ventrally the femoral depression.	http://purl.obolibrary.org/obo/HAO_0000559	mesopleural carina
mesopleural epicoxal sulcus	The epicoxal sulcus that is located on the mesopleuron.	http://purl.obolibrary.org/obo/HAO_0000560	mesopleural epicoxal sulcus
mesopleural pit	The pleural pit that is located on the mesopleuron.	http://purl.obolibrary.org/obo/HAO_0000561	mesopleural pit
mesopleuron	The pleuron that is located in the mesothorax.	http://purl.obolibrary.org/obo/HAO_0001354	mesopleuron
mesoscutal humeral sulcus	The sulcus that extends medially along the parascutal carina and corresponds to a shallow ridge.	http://purl.obolibrary.org/obo/HAO_0000569	mesoscutal humeral sulcus
mesoscutal suprahumeral sulcus	The sulcus that extends along the anterior margin of the mesoscutum between the anterior-most point of the preaxilla and the anteroadmedian line and corresponds to the vertical lobe of the mesoscutum.	http://purl.obolibrary.org/obo/HAO_0000570	mesoscutal suprahumeral sulcus
mesoscutellum	The scutellum that is located on the mesonotum.	http://purl.obolibrary.org/obo/HAO_0000574	mesoscutellum
mesoscutum	The area that is located anterior to the transscutal articulation.	http://purl.obolibrary.org/obo/HAO_0001490	anteromesoscutum
mesosoma	"The anatomical cluster that is composed of the prothorax, mesothorax and the metapectal-propodeal complex."	http://purl.obolibrary.org/obo/HAO_0000576	mesosoma
metacoxa	The coxa that is located on the hind leg.	http://purl.obolibrary.org/obo/HAO_0000587	metacoxa
metanotum	"The alinotum that is located in the metathorax, is connected with the mesoscutellum and the mesopostnotum anteriorly and the acrotergite of the first abdominal tergum posteromedially."	http://purl.obolibrary.org/obo/HAO_0000603	metanotum
metapleural carina	"The carina that delimits the metapleuron dorsally from the propodeum, extends from just ventral of the metapleural arm to the metacoxal articulation and passes anteroventral to the propodeal spiracle."	http://purl.obolibrary.org/obo/HAO_0000609	metapleural carina
metapleuron	The area of the metapectal-propodeal complex that is located laterally of the metadiscrimen.	http://purl.obolibrary.org/obo/HAO_0000621	metapleuron
metapostnotum	The area that is located anterior to the antecostal sulcus of the first abdominal tergum.	http://purl.obolibrary.org/obo/HAO_0001877	metapostnotum
metascutellum	"The area that is located posteromedially on the metanotum, is delimited laterally by the metanotal trough and corresponds to the reservoir of the dorsal vessel."	http://purl.obolibrary.org/obo/HAO_0000625	metascutellum
metasoma	The tagma that is connected anteriorly to the metapectal-propodeal complex at the propodeal foramen and consists of abdominal segments.	http://purl.obolibrary.org/obo/HAO_0000626	metasoma
metasomal depression	"The acetabulum that is concave, surrounds the nucha and accommodates the base of the metasoma."	http://purl.obolibrary.org/obo/HAO_0000627	metasomal depression
mouthparts	"The anatomical cluster that is composed of the labrum, epipharyngeal wall, hypopharyngeal wall (including the sitophore), mandibles, maxillae, labium and conjunctivae connecting them."	http://purl.obolibrary.org/obo/HAO_0000639	mouthparts
netrion	The area that is located posteroventrally on the pronotum and corresponds to the site of origin of first flexor of the fore wing muscle.	http://purl.obolibrary.org/obo/HAO_0000644	netrion
netrion sulcus	The sulcus that  anteriorly delimits the netrion.	http://purl.obolibrary.org/obo/HAO_0000646	netrion sulcus
notaulus	The line that extends submedially along the mesoscutum and corresponds to the median border of the site of origin of the first mesopleuro-mesonotal muscle.	http://purl.obolibrary.org/obo/HAO_0000647	notaulus
occiput	The area that is concave and surrounds the postocciput.	http://purl.obolibrary.org/obo/HAO_0000658	occiput
ocellus	"The multi-tissue structure that is located on the top of the head, composed of the corneal lens, pigment cell, rhabdoms and synaptic plexus."	http://purl.obolibrary.org/obo/HAO_0000661	ocellus
orbital furrow	The impression that arises laterally from the antennal rim and extends along the inner margin of the compound eye.	http://purl.obolibrary.org/obo/HAO_0001598	orbital furrow
paracoxal sulcus	The sulcus that corresponds to the paracoxal ridge.	http://purl.obolibrary.org/obo/HAO_0000685	paracoxal sulcus
postacetabular sulcus	The sulcus that extends posteriorly along the epicnemial carina.	http://purl.obolibrary.org/obo/HAO_0000741	postacetabular sulcus
preocellar pit	The pit that is located on upper face adjacent the anterior margin of the median ocellus and corresponds internally to a conical apodeme and not the tentorium.	http://purl.obolibrary.org/obo/HAO_0000808	preocellar pit
procoxa	The coxa that is located on the fore leg.	http://purl.obolibrary.org/obo/HAO_0001122	procoxa
pronotum	The notum that is located in the prothorax.	http://purl.obolibrary.org/obo/HAO_0000853	pronotum
propleuron	"The pleuron that is articulated with the fore leg, connected dorsolaterally (anterolaterally) with the pronotum and ventrally (posteriorly) with the prosternum."	http://purl.obolibrary.org/obo/HAO_0000862	propleuron
propodeal spiracle	The abdominal spiracle that is the anteriormost in the body.	http://purl.obolibrary.org/obo/HAO_0000329	propodeal spiracle
propodeum	The area of the metapectal-propodeal complex that is located posterior to the metapleural carina.	http://purl.obolibrary.org/obo/HAO_0001249	propodeum
radicle	"The area that is located proximally on the scape, is limited distally by a constriction and bears proximally the basal knob."	http://purl.obolibrary.org/obo/HAO_0000889	radicle
scape	The antennal segment that is proximal to the pedicel and is connected to the head via the radicle.	http://purl.obolibrary.org/obo/HAO_0000908	scape
sclerite	"The area of the integument that is strongly sclerotised, with thick exocuticle and is surrounded by conjunctivae."	http://purl.obolibrary.org/obo/HAO_0000909	sclerite
sculpture	The area that is located on the sclerite and that is composed of repetitive anatomical structures.	http://purl.obolibrary.org/obo/HAO_0000913	sculpture
speculum	"The area that is located dorsally on the mesopleuron, is delimited posteriorly by the mesepimeral ridge and corresponds to the site of origin of the dorsal mesopleuro-mesofurcal muscle."	http://purl.obolibrary.org/obo/HAO_0000944	speculum
spiracle	The anatomical cluster that is composed of the distal end of the trachea and the margin of the sclerite or conjunctiva surrounding the spiracular opening.	http://purl.obolibrary.org/obo/HAO_0000950	spiracle
sulcus	The groove that corresponds to a ridge.	http://purl.obolibrary.org/obo/HAO_0000978	sulcus
tegula	The sclerite that is located laterally of the preaxilla and obscures the anterior mesonoto-first axillary articulation and the mesopleuro-second axillary sclerite joints.	http://purl.obolibrary.org/obo/HAO_0000993	tegula
vertex	"The area that is delimited by the intersection of the margin of the compound eyes, the interorbital plane, and the anatomical line that is tangential to the point on the margin of the anterior ocellus which defines the minimum distance between the anterior ocellus and the oral foramen."	http://purl.obolibrary.org/obo/HAO_0001077	vertex
wing	The area that is located in between the notum and the pleuron and is composed of the wing base and wing blade.	http://purl.obolibrary.org/obo/HAO_0001089	wing
wing base	"The anatomical cluster that is composed of the pteralia, humeral complex, tegula and axillary cord."	http://purl.obolibrary.org/obo/HAO_0001090	wing base
